video_id,video_path,signs_detected,signwriting,translation,full_text,duration,fps,time_total_ms,time_pose_extraction_ms,time_segmentation_ms,time_transcription_ms,time_translation_ms,status,error
3WB3Ca1ocq8-00:02:15.580-00:02:25.080,/work3/s235253/openaslcropped/3WB3Ca1ocq8-00:02:15.580-00:02:25.080.mp4,0,,,,11.4,25.0,19923.68,15920.36,3885.14,0.0,0.0,success,
fLZ-ZLa67AI-00:06:05.639-00:06:12.540,/work3/s235253/openaslcropped/fLZ-ZLa67AI-00:06:05.639-00:06:12.540.mp4,4,M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489S20500473x489|M500x500S33100482x483S16d00520x489|M500x500S30000482x482S1f500489x519S20600514x474|M500x500S15030510x474S15030480x474S22a00510x512S22a00510x512,2nd|Bulgaria|toll|wanted,2nd Bulgaria toll wanted,8.32,25.0,42083.38,11362.4,27.19,19143.87,11461.36,success,
B7ovyGxt_xk-00:01:57.811-00:01:59.084,/work3/s235253/openaslcropped/B7ovyGxt_xk-00:01:57.811-00:01:59.084.mp4,2,M500x500S36d00479x473S37605473x474S15d31516x473S20600489x473|M500x500S36d00479x480S15d31511x505S15d39473x503,cough|welfare,cough welfare,1.24,25.0,2972.26,1736.44,11.26,1176.29,34.76,success,
hDwx7q8PybM-00:08:16.704-00:08:25.795,/work3/s235253/openaslcropped/hDwx7q8PybM-00:08:16.704-00:08:25.795.mp4,0,,,,8.72,25.0,11919.04,11811.25,21.39,0.0,0.0,success,
BVrZ2mPsdS0-00:04:28.915-00:04:52.000,/work3/s235253/openaslcropped/BVrZ2mPsdS0-00:04:28.915-00:04:52.000.mp4,1,M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489,2nd,2nd,22.2,25.0,31944.71,30511.14,44.01,1143.21,25.41,success,
cvqbe6xyT7Y-00:04:58.865-00:05:07.540,/work3/s235253/openaslcropped/cvqbe6xyT7Y-00:04:58.865-00:05:07.540.mp4,0,,,,20.8,25.0,28665.17,28402.6,44.13,0.0,0.0,success,
7xpeNMA_H30-00:00:36.250-00:00:48.299,/work3/s235253/openaslcropped/7xpeNMA_H30-00:00:36.250-00:00:48.299.mp4,5,M500x500S36d00479x480S15d31516x478S20600467x489|M500x500S36d00479x473S37609477x473S20331519x473S26607519x473S26607519x473S26617467x473|M500x500S36d00479x467S1dc04504x489S1dc0c489x503|M500x500S36a00482x477S18000512x518S20600519x489|M500x500S30000482x483S30004482x483S22a04511x526S22a04511x525,Friend|slave|lord|fullofcow|Philadelphia,Friend slave lord fullofcow Philadelphia,14.48,25.0,21288.03,19525.0,32.77,1495.06,94.38,success,
yYYYXAAbH7A-00:09:57.929-00:09:58.931,/work3/s235253/openaslcropped/yYYYXAAbH7A-00:09:57.929-00:09:58.931.mp4,0,,,,1.0,25.0,1412.61,1392.36,9.53,0.0,0.0,success,
FqVslwH0lNU-00:03:52.639-00:04:04.780,/work3/s235253/openaslcropped/FqVslwH0lNU-00:03:52.639-00:04:04.780.mp4,0,,,,14.6,25.0,20203.24,20018.93,30.82,0.0,0.0,success,
dOBaV-PhD-s-00:00:39.780-00:00:47.619,/work3/s235253/openaslcropped/dOBaV-PhD-s-00:00:39.780-00:00:47.619.mp4,0,,,,9.4,25.0,13191.65,13061.81,22.92,0.0,0.0,success,
1aIPXe8ETE0-00:03:32.000-00:03:43.620,/work3/s235253/openaslcropped/1aIPXe8ETE0-00:03:32.000-00:03:43.620.mp4,3,M500x500S36d00479x473S15d30526x488S20600489x463|M500x500S36d00479x473S37601478x473S15d31511x478S15d39473x478S20500473x503|M500x500S36d00479x467S36d00479x530S1dc04510x497S1dc0c510x497,companion|takeoffone'sneck|lord,companion takeoffone'sneck lord,13.96,25.0,20482.08,19077.44,31.71,1180.23,54.9,success,
045-gE1O_hQ-00:03:13.693-00:03:37.258,/work3/s235253/openaslcropped/045-gE1O_hQ-00:03:13.693-00:03:37.258.mp4,1,M500x500S36d00479x467S1dc04504x489S1dc0c478x489S26504507x489S26504507x489,slip,slip,28.28,25.0,40022.02,38512.51,54.04,1148.55,19.29,success,
gdVQKVcjBO8-00:10:00.080-00:10:07.960,/work3/s235253/openaslcropped/gdVQKVcjBO8-00:10:00.080-00:10:07.960.mp4,0,,,,9.48,25.0,13227.6,13109.61,23.1,0.0,0.0,success,
EiPus06oKy0-00:01:45.649-00:01:57.700,/work3/s235253/openaslcropped/EiPus06oKy0-00:01:45.649-00:01:57.700.mp4,7,M500x500S36d00479x467S1dc04504x489S1dc0c489x489|M500x500S36a00482x477S18000512x518S20600519x489|M500x500S33b00482x48230482x482p482S16d30511x526|M500x500S1dc00489x467S1dc0c489x467|M500x500S30000482x483S20600489x470|M500x500S30000482x483S1dc00497x489S20600489x519|M500x500S30000482x483S1dc00497x489S20500482x489,lord|fullofcow|Mayonnaise|Feb0uary|pat0ol|lesbian|sibling,lord fullofcow Mayonnaise Feb0uary pat0ol lesbian sibling,14.48,25.0,21519.2,19874.27,29.27,1348.39,125.99,success,
4SVP0ShrpN0-00:02:19.582-00:02:30.332,/work3/s235253/openaslcropped/4SVP0ShrpN0-00:02:19.582-00:02:30.332.mp4,5,M500x500S15030507x478S15038473x482S27100536x507S27114440x507|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489|M500x500S36d00479x475S15d31517x478S15d39473x478|M500x500S36d00479x473S37601480x474S20331512x512S20339473x512|M500x500S36d00479x480S15032473x503S15032473x474S22a04509x512,gossip|2nd|welfare|skin|upset,gossip 2nd welfare skin upset,12.92,25.0,19251.73,17572.46,29.07,1434.63,85.49,success,
ziFmcT4dE8I-00:09:03.480-00:09:12.039,/work3/s235253/openaslcropped/ziFmcT4dE8I-00:09:03.480-00:09:12.039.mp4,0,,,,8.24,25.0,11356.66,11241.27,23.99,0.0,0.0,success,
