cropped_video_path,cropped_video_filename,tsv_row_index,vid,yid,start,end,raw_text,tokenized_text,gloss,split
/work3/s235253/openaslcropped/3WB3Ca1ocq8-00:02:15.580-00:02:25.080.mp4,3WB3Ca1ocq8-00:02:15.580-00:02:25.080.mp4,17498,3WB3Ca1ocq8-00:02:15.580-00:02:25.080,3WB3Ca1ocq8,00:02:15.580,00:02:25.080,"Some parts of Louisiana saw several inches of rainfall overnight, leaving some roads impassable.",some parts of louisiana saw several inches of rainfall overnight leaving some roads impassable,,train
/work3/s235253/openaslcropped/fLZ-ZLa67AI-00:06:05.639-00:06:12.540.mp4,fLZ-ZLa67AI-00:06:05.639-00:06:12.540.mp4,15558,fLZ-ZLa67AI-00:06:05.639-00:06:12.540,fLZ-ZLa67AI,00:06:05.639,00:06:12.540,Pepsi's CEO says cutting down on plastic waste is a top priority.,pepsi 's ceo says cutting down on plastic waste is a top priority,,train
/work3/s235253/openaslcropped/B7ovyGxt_xk-00:01:57.811-00:01:59.084.mp4,B7ovyGxt_xk-00:01:57.811-00:01:59.084.mp4,3473,B7ovyGxt_xk-00:01:57.811-00:01:59.084,B7ovyGxt_xk,00:01:57.811,00:01:59.084,It has a purpose.,it has a purpose,,train
/work3/s235253/openaslcropped/hDwx7q8PybM-00:08:16.704-00:08:25.795.mp4,hDwx7q8PybM-00:08:16.704-00:08:25.795.mp4,8946,hDwx7q8PybM-00:08:16.704-00:08:25.795,hDwx7q8PybM,00:08:16.704,00:08:25.795,"There is a new wildfire that started last night, named the Maria Fire.",there is a new wildfire that started last night named the maria fire,,train
/work3/s235253/openaslcropped/BVrZ2mPsdS0-00:04:28.915-00:04:52.000.mp4,BVrZ2mPsdS0-00:04:28.915-00:04:52.000.mp4,10092,BVrZ2mPsdS0-00:04:28.915-00:04:52.000,BVrZ2mPsdS0,00:04:28.915,00:04:52.000,"The possible articles of impeachment that would be brought before a full House vote are 1) Abuse of Power and Bribery, 2) Obstruction of Congress, and 3) Obstruction of Justice.",the possible articles of impeachment that would be brought before a full house vote are 1 abuse of power and bribery 2 obstruction of congress and 3 obstruction of justice,,train
/work3/s235253/openaslcropped/cvqbe6xyT7Y-00:04:58.865-00:05:07.540.mp4,cvqbe6xyT7Y-00:04:58.865-00:05:07.540.mp4,9459,cvqbe6xyT7Y-00:04:58.865-00:05:07.540,cvqbe6xyT7Y,00:04:58.865,00:05:07.540,We see on this map that the hot spots are mostly concentrated in the southeastern U.S.,we see on this map that the hot spots are mostly concentrated in the southeastern u.s.,,train
/work3/s235253/openaslcropped/7xpeNMA_H30-00:00:36.250-00:00:48.299.mp4,7xpeNMA_H30-00:00:36.250-00:00:48.299.mp4,17776,7xpeNMA_H30-00:00:36.250-00:00:48.299,7xpeNMA_H30,00:00:36.250,00:00:48.299,"In a press conference Friday, President Trump claimed all of the country's former presidents told him they agree the wall should have been built.",in a press conference friday president trump claimed all of the country 's former presidents told him they agree the wall should have been built,,train
/work3/s235253/openaslcropped/yYYYXAAbH7A-00:09:57.929-00:09:58.931.mp4,yYYYXAAbH7A-00:09:57.929-00:09:58.931.mp4,18885,yYYYXAAbH7A-00:09:57.929-00:09:58.931,yYYYXAAbH7A,00:09:57.929,00:09:58.931,"Okay, sure.",okay sure,,train
/work3/s235253/openaslcropped/FqVslwH0lNU-00:03:52.639-00:04:04.780.mp4,FqVslwH0lNU-00:03:52.639-00:04:04.780.mp4,12475,FqVslwH0lNU-00:03:52.639-00:04:04.780,FqVslwH0lNU,00:03:52.639,00:04:04.780,"Nebraska officials say preliminary losses for infrastructure, livestock and crops will likely exceed $1.3 billion.",nebraska officials say preliminary losses for infrastructure livestock and crops will likely exceed $1.3 billion,,train
/work3/s235253/openaslcropped/dOBaV-PhD-s-00:00:39.780-00:00:47.619.mp4,dOBaV-PhD-s-00:00:39.780-00:00:47.619.mp4,15480,dOBaV-PhD-s-00:00:39.780-00:00:47.619,dOBaV-PhD-s,00:00:39.780,00:00:47.619,The charges are a result of an incident at Angel's strip club in New York two months ago.,the charges are a result of an incident at angel 's strip club in new york two months ago,,train
/work3/s235253/openaslcropped/1aIPXe8ETE0-00:03:32.000-00:03:43.620.mp4,1aIPXe8ETE0-00:03:32.000-00:03:43.620.mp4,22614,1aIPXe8ETE0-00:03:32.000-00:03:43.620,1aIPXe8ETE0,00:03:32.000,00:03:43.620,Representative Ilhan Omar is apologizing for her anti-Semitic statement.,representative ilhan omar is apologizing for her anti-semitic statement,,train
/work3/s235253/openaslcropped/045-gE1O_hQ-00:03:13.693-00:03:37.258.mp4,045-gE1O_hQ-00:03:13.693-00:03:37.258.mp4,11772,045-gE1O_hQ-00:03:13.693-00:03:37.258,045-gE1O_hQ,00:03:13.693,00:03:37.258,The court informed the District Attorney Susan Krones that she has until December 4 to decide whether she wants a retrial on the charge of voluntary manslaughter.,the court informed the district attorney susan krones that she has until december 4 to decide whether she wants a retrial on the charge of voluntary manslaughter,,train
/work3/s235253/openaslcropped/gdVQKVcjBO8-00:10:00.080-00:10:07.960.mp4,gdVQKVcjBO8-00:10:00.080-00:10:07.960.mp4,11344,gdVQKVcjBO8-00:10:00.080-00:10:07.960,gdVQKVcjBO8,00:10:00.080,00:10:07.960,"The defense attorney asked,  When you interviewed Mavrick in San Diego, you were trying to use a video tablet, but it did not work out.",the defense attorney asked when you interviewed mavrick in san diego you were trying to use a video tablet but it did not work out,,train
/work3/s235253/openaslcropped/EiPus06oKy0-00:01:45.649-00:01:57.700.mp4,EiPus06oKy0-00:01:45.649-00:01:57.700.mp4,12372,EiPus06oKy0-00:01:45.649-00:01:57.700,EiPus06oKy0,00:01:45.649,00:01:57.700,However this doesn't mean they are processing the image as fast as the hearing infants.,however this does n't mean they are processing the image as fast as the hearing infants,,train
/work3/s235253/openaslcropped/4SVP0ShrpN0-00:02:19.582-00:02:30.332.mp4,4SVP0ShrpN0-00:02:19.582-00:02:30.332.mp4,20,4SVP0ShrpN0-00:02:19.582-00:02:30.332,4SVP0ShrpN0,00:02:19.582,00:02:30.332,Musician Eddie Van Halen passed away on Tuesday at the age of 65 from throat cancer.,musician eddie van halen passed away on tuesday at the age of 65 from throat cancer,,train
/work3/s235253/openaslcropped/ziFmcT4dE8I-00:09:03.480-00:09:12.039.mp4,ziFmcT4dE8I-00:09:03.480-00:09:12.039.mp4,4742,ziFmcT4dE8I-00:09:03.480-00:09:12.039,ziFmcT4dE8I,00:09:03.480,00:09:12.039,Poland and the Czech Republic also had record June temperatures.,poland and the czech republic also had record june temperatures,,train
/work3/s235253/openaslcropped/8kr8G6TzCbM-00:07:58.117-00:08:11.524.mp4,8kr8G6TzCbM-00:07:58.117-00:08:11.524.mp4,1298,8kr8G6TzCbM-00:07:58.117-00:08:11.524,8kr8G6TzCbM,00:07:58.117,00:08:11.524,"To tell the truth, it requires a lot of work If you want to be successful with good soil, it takes five to ten years for it to improve.",to tell the truth it requires a lot of work if you want to be successful with good soil it takes five to ten years for it to improve,,train
/work3/s235253/openaslcropped/9GhUO_jopI0-00:03:13.460-00:03:24.000.mp4,9GhUO_jopI0-00:03:13.460-00:03:24.000.mp4,21905,9GhUO_jopI0-00:03:13.460-00:03:24.000,9GhUO_jopI0,00:03:13.460,00:03:24.000,"But just a couple of months ago, weekly claims were in the low 200,000s, showing the devastating effects of the pandemic on the job market.","but just a couple of months ago weekly claims were in the low 200,000s showing the devastating effects of the pandemic on the job market",,train
/work3/s235253/openaslcropped/BXjgMNlzXts-00:01:58.439-00:02:07.000.mp4,BXjgMNlzXts-00:01:58.439-00:02:07.000.mp4,8666,BXjgMNlzXts-00:01:58.439-00:02:07.000,BXjgMNlzXts,00:01:58.439,00:02:07.000,"It s just not right and what is interesting is on that day, after I d been working so hard, the last car had pulled up to us.",it s just not right and what is interesting is on that day after i d been working so hard the last car had pulled up to us,,train
/work3/s235253/openaslcropped/BLVDbsj7Xo4-00:05:50.557-00:05:54.687.mp4,BLVDbsj7Xo4-00:05:50.557-00:05:54.687.mp4,5658,BLVDbsj7Xo4-00:05:50.557-00:05:54.687,BLVDbsj7Xo4,00:05:50.557,00:05:54.687,There is a second male suspect that has not been caught.,there is a second male suspect that has not been caught,,train
/work3/s235253/openaslcropped/D9HR4q0vbwE-00:05:21.987-00:05:31.747.mp4,D9HR4q0vbwE-00:05:21.987-00:05:31.747.mp4,20698,D9HR4q0vbwE-00:05:21.987-00:05:31.747,D9HR4q0vbwE,00:05:21.987,00:05:31.747,"The UN called the killing an ""execution"" and said it was an international crime.",the un called the killing an execution and said it was an international crime,,train
/work3/s235253/openaslcropped/yLfw4Ickjcg-00:07:17.959-00:07:28.360.mp4,yLfw4Ickjcg-00:07:17.959-00:07:28.360.mp4,22325,yLfw4Ickjcg-00:07:17.959-00:07:28.360,yLfw4Ickjcg,00:07:17.959,00:07:28.360,However Starbucks didn't bring the beverage back in the summer of 2018 and many coffee drinkers were not happy.,however starbucks did n't bring the beverage back in the summer of 2018 and many coffee drinkers were not happy,,train
/work3/s235253/openaslcropped/fyWOxU3YUq8-00:08:57.759-00:09:10.399.mp4,fyWOxU3YUq8-00:08:57.759-00:09:10.399.mp4,23347,fyWOxU3YUq8-00:08:57.759-00:09:10.399,fyWOxU3YUq8,00:08:57.759,00:09:10.399,"On this day 26 years ago, the United Nations General Assembly passed a resolution to make December 3 International Day of Persons With Disabilities.",on this day 26 years ago the united nations general assembly passed a resolution to make december 3 international day of persons with disabilities,,train
/work3/s235253/openaslcropped/9MBFq3hQGB0-00:00:20.280-00:00:27.160.mp4,9MBFq3hQGB0-00:00:20.280-00:00:27.160.mp4,3452,9MBFq3hQGB0-00:00:20.280-00:00:27.160,9MBFq3hQGB0,00:00:20.280,00:00:27.160,Why do candidates ask us for  money?,why do candidates ask us for money,,train
/work3/s235253/openaslcropped/D9HR4q0vbwE-00:20:51.955-00:20:53.250.mp4,D9HR4q0vbwE-00:20:51.955-00:20:53.250.mp4,21167,D9HR4q0vbwE-00:20:51.955-00:20:53.250,D9HR4q0vbwE,00:20:51.955,00:20:53.250,Were you informed?,were you informed,,train
/work3/s235253/openaslcropped/Ct-0LgiwtBs-00:10:45.039-00:11:02.240.mp4,Ct-0LgiwtBs-00:10:45.039-00:11:02.240.mp4,16107,Ct-0LgiwtBs-00:10:45.039-00:11:02.240,Ct-0LgiwtBs,00:10:45.039,00:11:02.240,"In addition PG&amp;E is blamed for a series of fires in 2017, $10 billion in damages and 44 deaths.",in addition pg&amp;e is blamed for a series of fires in 2017 $10 billion in damages and 44 deaths,,train
/work3/s235253/openaslcropped/FSTcHQ4yBbw-00:06:49.240-00:06:53.519.mp4,FSTcHQ4yBbw-00:06:49.240-00:06:53.519.mp4,6841,FSTcHQ4yBbw-00:06:49.240-00:06:53.519,FSTcHQ4yBbw,00:06:49.240,00:06:53.519,"Now, hockey and the alpine skiing teams rested today.",now hockey and the alpine skiing teams rested today,,train
/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:20:12.048-00:20:15.164.mp4,2Wsw0KI-yQg-00:20:12.048-00:20:15.164.mp4,4563,2Wsw0KI-yQg-00:20:12.048-00:20:15.164,2Wsw0KI-yQg,00:20:12.048,00:20:15.164,See you tomorrow and stay with the light!,see you tomorrow and stay with the light,,train
/work3/s235253/openaslcropped/20L1KcP9Zeo-00:00:43.840-00:00:58.679.mp4,20L1KcP9Zeo-00:00:43.840-00:00:58.679.mp4,23085,20L1KcP9Zeo-00:00:43.840-00:00:58.679,20L1KcP9Zeo,00:00:43.840,00:00:58.679,"As the coronavirus pandemic continues, new guidelines from the CDC for reopening schools pushed hard for an in-person return.",as the coronavirus pandemic continues new guidelines from the cdc for reopening schools pushed hard for an in person return,,train
/work3/s235253/openaslcropped/FV4HBtRL89c-00:02:43.080-00:02:57.927.mp4,FV4HBtRL89c-00:02:43.080-00:02:57.927.mp4,20889,FV4HBtRL89c-00:02:43.080-00:02:57.927,FV4HBtRL89c,00:02:43.080,00:02:57.927,"Anthony explained to ""The Daily Moth"" that the students are a part of his reading and writing class that has moved online because schools have closed across the state.",anthony explained to the daily moth that the students are a part of his reading and writing class that has moved online because schools have closed across the state,,train
/work3/s235253/openaslcropped/1cT9kp1pI8A-00:04:06.621-00:04:21.468.mp4,1cT9kp1pI8A-00:04:06.621-00:04:21.468.mp4,1722,1cT9kp1pI8A-00:04:06.621-00:04:21.468,1cT9kp1pI8A,00:04:06.621,00:04:21.468,"It doesn't legalize it, nor permit the sale or purchase of the mushrooms - it just tells police officers to not make it a priority to seek out and arrest users.",it does n't legalize it nor permit the sale or purchase of the mushrooms it just tells police officers to not make it a priority to seek out and arrest users,,train
/work3/s235253/openaslcropped/B7ovyGxt_xk-00:00:12.199-00:00:18.160.mp4,B7ovyGxt_xk-00:00:12.199-00:00:18.160.mp4,3543,B7ovyGxt_xk-00:00:12.199-00:00:18.160,B7ovyGxt_xk,00:00:12.199,00:00:18.160,It is my 10th year as the athletic director at Gallaudet University.,it is my 10th year as the athletic director at gallaudet university,,train
/work3/s235253/openaslcropped/0AQHLPt8NDk-00:01:56.215-00:02:00.486.mp4,0AQHLPt8NDk-00:01:56.215-00:02:00.486.mp4,5839,0AQHLPt8NDk-00:01:56.215-00:02:00.486,0AQHLPt8NDk,00:01:56.215,00:02:00.486,I wanted to let you all know because you are a part of this event.,i wanted to let you all know because you are a part of this event,,train
