video_id,translation,num_frames,error,frame_extraction_time,spatial_feature_time,motion_feature_time,inference_time,total_time,translation_en
3WB3Ca1ocq8-00:02:15.580-00:02:25.080,drüben großbriel flint über europe e e blütt über osteuropa e europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa,285.0,,0.062,16.598,31.254,4.23,52.347,over bigbriel flint over europe e europe e europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe
fLZ-ZLa67AI-00:06:05.639-00:06:12.540,ungemütlich ändert sich das wetter vor allem in südosteuropa es ändert sich vor allem in küstennähe aber auch im südosten fußt ungemütlich wind richtung osts,208.0,,0.037,11.738,22.408,4.222,38.602,Uncomfortably the weather changes especially in south-east Europe it changes especially near the coast but also in the south-east based uncomfortable wind direction east
B7ovyGxt_xk-00:01:57.811-00:01:59.084,örtlich tauchen schneefen auf.,31.0,,0.011,1.745,1.867,1.254,5.051,local snowfalls appear.
hDwx7q8PybM-00:08:16.704-00:08:25.795,es widt sich auf den weg schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte ,218.0,,0.039,12.079,24.344,4.226,40.874,it focuses on the way steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps
BVrZ2mPsdS0-00:04:28.915-00:04:52.000,es ändert sich vorübergehend das wetter mit turbulences turbulences und turbulences so dass diese turbulence abseits von turbulences und turbulences abseits von turbul,555.0,,0.093,30.603,63.367,4.223,98.497,it temporarily changes the weather with turbulences turbulences and turbulences so that this turbulence away from turbulences and turbulences away from turbulences
cvqbe6xyT7Y-00:04:58.865-00:05:07.540,es sänder sich ungemütlich von den nebel ostsee ostsee ostseek über ostseek über ostseek über ostseek über ostseek über ostseek über ostseek über osts,520.0,,0.086,28.58,59.556,4.209,92.632,it changed uncomfortablely from the nebula ostsee ostsee ostseek over ostseek over ostseek over ostseek over ostseek over ostseek over ostseek over ostseek over ostseek over ostseek
7xpeNMA_H30-00:00:36.250-00:00:48.299,ungemütliches ungemütliches hochdruckwetter rungel rungel rungel rungel rungel rungel rungel rungel rungel rungel rungel ,362.0,,0.062,19.832,40.661,4.231,64.961,Uncomfortable uncomfortable high-pressure weather au thorization au thorization auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth auth
yYYYXAAbH7A-00:09:57.929-00:09:58.931,es klart licht auf vereinzelt gibt es sprühren.,25.0,,0.009,1.338,1.889,1.71,5.115,it clears light on isolated there is sprung.
FqVslwH0lNU-00:03:52.639-00:04:04.780,et zö e e e zö e e e öja e e e öja e öja e öja e öja e öja e öja e öja,365.0,,0.062,20.774,41.064,4.349,66.463,öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e öja e ö öja e ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö ö
dOBaV-PhD-s-00:00:39.780-00:00:47.619,jahrhundert tausend kilometer förmigt e e schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritt,235.0,,0.043,12.973,29.126,4.322,46.643,century thousand kilometers forms e e steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps steps
