video_id,translation,num_frames,error,frame_extraction_time,spatial_feature_time,motion_feature_time,inference_time,total_time
3WB3Ca1ocq8-00:02:15.580-00:02:25.080,drüben großbriel flint über europe e e blütt über osteuropa e europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa,285,,0.062,16.598,31.254,4.23,52.347
fLZ-ZLa67AI-00:06:05.639-00:06:12.540,ungemütlich ändert sich das wetter vor allem in südosteuropa es ändert sich vor allem in küstennähe aber auch im südosten fußt ungemütlich wind richtung osts,208,,0.037,11.738,22.408,4.222,38.602
B7ovyGxt_xk-00:01:57.811-00:01:59.084,örtlich tauchen schneefen auf.,31,,0.011,1.745,1.867,1.254,5.051
hDwx7q8PybM-00:08:16.704-00:08:25.795,es widt sich auf den weg schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte ,218,,0.039,12.079,24.344,4.226,40.874
BVrZ2mPsdS0-00:04:28.915-00:04:52.000,es ändert sich vorübergehend das wetter mit turbulences turbulences und turbulences so dass diese turbulence abseits von turbulences und turbulences abseits von turbul,555,,0.093,30.603,63.367,4.223,98.497
cvqbe6xyT7Y-00:04:58.865-00:05:07.540,es sänder sich ungemütlich von den nebel ostsee ostsee ostseek über ostseek über ostseek über ostseek über ostseek über ostseek über ostseek über osts,520,,0.086,28.58,59.556,4.209,92.632
7xpeNMA_H30-00:00:36.250-00:00:48.299,ungemütliches ungemütliches hochdruckwetter rungel rungel rungel rungel rungel rungel rungel rungel rungel rungel rungel ,362,,0.062,19.832,40.661,4.231,64.961
yYYYXAAbH7A-00:09:57.929-00:09:58.931,es klart licht auf vereinzelt gibt es sprühren.,25,,0.009,1.338,1.889,1.71,5.115
FqVslwH0lNU-00:03:52.639-00:04:04.780,et zö e e e zö e e e öja e e e öja e öja e öja e öja e öja e öja e öja,365,,0.062,20.774,41.064,4.349,66.463
dOBaV-PhD-s-00:00:39.780-00:00:47.619,jahrhundert tausend kilometer förmigt e e schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritte schritt,235,,0.043,12.973,29.126,4.322,46.643
1aIPXe8ETE0-00:03:32.000-00:03:43.620,ablau ist a bluish-toned version of the official website of the european parliament.,349,,0.058,19.501,39.109,2.155,61.035
045-gE1O_hQ-00:03:13.693-00:03:37.258,ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches,707,,0.115,39.951,81.324,4.259,125.86
gdVQKVcjBO8-00:10:00.080-00:10:07.960,es ändert sich vorübergehend dieses wetter mit wechselhaftem wechselhaftem hochdruckwetter mit lokalen schauern und wechselhaftem wetter.,237,,0.043,13.246,26.032,3.751,43.248
EiPus06oKy0-00:01:45.649-00:01:57.700,etabliert sich das wetter so richtig am wenigstens hier im südwesten europas ettinte blau grün elinte blau grün in den osten walds bei schottland walds,362,,0.062,20.71,41.275,4.319,66.579
4SVP0ShrpN0-00:02:19.582-00:02:30.332,figuratively hier hier figurative figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative ,323,,0.056,20.836,36.316,4.23,61.631
ziFmcT4dE8I-00:09:03.480-00:09:12.039,es geht weiter um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figurative,206,,0.038,11.609,22.397,4.181,38.422
8kr8G6TzCbM-00:07:58.117-00:08:11.524,na rüta na rüta na rüta na rüta na rüta na rüta na rüta na rüta na rüta,403,,0.068,22.957,45.324,4.211,72.765
9GhUO_jopI0-00:03:13.460-00:03:24.000,e e e e bläst ungewöhnlich vor dem südwesten aber e e bläst ungewöhnlich vor dem ostsrück e e bläst drin aus den hohen mittelmeer,316,,0.055,18.232,35.518,4.219,58.208
BXjgMNlzXts-00:01:58.439-00:02:07.000,a large iceberg überquet a large océan über osteuropa wobei e kleit vor allem in böen und ostfären.,206,,0.036,11.787,22.705,2.946,37.65
BLVDbsj7Xo4-00:05:50.557-00:05:54.687,e e änder sich fast nichts aber e actuelt e änder sich wieder ein rücksrück auf den weg schritte schritte.,100,,0.021,5.696,10.278,2.858,19.066
D9HR4q0vbwE-00:05:21.987-00:05:31.747,"in skandinavien, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia",235,,0.042,13.346,28.681,4.176,46.421
yLfw4Ickjcg-00:07:17.959-00:07:28.360,"es gibt viele verschiedene strom von ostsee bis nach eura und osteuropa es gibt vielfältige strom von ost, eura und osteuropa bis nach europa.",313,,0.054,17.705,35.316,3.211,56.466
fyWOxU3YUq8-00:08:57.759-00:09:10.399,es wurde bereits im laufe des tages schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise ein schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt ,379,,0.064,21.702,43.972,4.193,70.14
9MBFq3hQGB0-00:00:20.280-00:00:27.160,lüdde blüht das grüne wald of aaa und ostfalen aus dem östlichen ostsüdost.,207,,0.037,11.779,23.628,4.171,39.79
D9HR4q0vbwE-00:20:51.955-00:20:53.250,in den südlandes sterreich und südostfriesland.,32,,0.011,1.846,2.908,1.63,6.589
